ILMN_1762337,Gene_1
ILMN_1714219,Gene_8807
ILMN_1743445,Gene_8808
ILMN_1758672,Gene_8809
ILMN_2140623,Gene_8810
ILMN_1679363,Gene_8811
ILMN_2239772,Gene_8812
ILMN_2307978,Gene_8813
ILMN_2374362,Gene_8814
ILMN_1668336,Gene_8815
ILMN_1785661,Gene_8816
ILMN_1660440,Gene_8817
ILMN_1788416,Gene_8818
ILMN_1743316,Gene_8819
ILMN_1806487,Gene_8820
ILMN_2098433,Gene_8821
ILMN_2098437,Gene_8822
ILMN_1726308,Gene_8823
ILMN_1723114,Gene_8824
ILMN_2080158,Gene_8825
ILMN_1765633,Gene_8826
ILMN_2248093,Gene_8827
ILMN_2323944,Gene_8828
ILMN_1679217,Gene_8829
ILMN_2090641,Gene_8830
ILMN_2410038,Gene_8831
ILMN_1778845,Gene_8832
ILMN_1762622,Gene_8833
ILMN_1676302,Gene_8834
ILMN_1712431,Gene_8835
ILMN_1694070,Gene_8836
ILMN_1675701,Gene_8837
ILMN_1805968,Gene_8838
ILMN_2297069,Gene_8839
ILMN_1713178,Gene_8840
ILMN_1659029,Gene_8841
ILMN_1745533,Gene_8842
ILMN_1739942,Gene_8843
ILMN_1809147,Gene_8844
ILMN_1690329,Gene_8845
ILMN_2049364,Gene_8846
ILMN_1762888,Gene_8847
ILMN_1723846,Gene_8848
ILMN_1680231,Gene_8849
ILMN_2163306,Gene_8850
ILMN_1679641,Gene_8851
ILMN_2118612,Gene_8852
ILMN_1723353,Gene_8853
ILMN_2117885,Gene_8854
ILMN_2189605,Gene_8855
ILMN_2145889,Gene_8856
ILMN_1810131,Gene_8857
ILMN_2394362,Gene_8858
ILMN_2394366,Gene_8859
ILMN_1674827,Gene_8860
ILMN_1749878,Gene_8861
ILMN_2121207,Gene_8862
ILMN_1652525,Gene_8863
ILMN_1702568,Gene_8864
ILMN_2263312,Gene_8865
ILMN_2075578,Gene_8866
ILMN_1691980,Gene_8867
ILMN_2076484,Gene_8868
ILMN_1779486,Gene_8869
ILMN_1708143,Gene_8870
ILMN_2089340,Gene_8871
ILMN_1686254,Gene_8872
ILMN_2106107,Gene_8873
ILMN_1733035,Gene_8874
ILMN_1717184,Gene_8875
ILMN_1810725,Gene_8876
ILMN_2294989,Gene_8877
ILMN_1661755,Gene_8878
ILMN_2408576,Gene_8879
ILMN_1664063,Gene_8880
ILMN_1755674,Gene_8881
ILMN_1764402,Gene_8882
ILMN_1729217,Gene_8883
ILMN_1652694,Gene_8884
ILMN_1761527,Gene_8885
ILMN_1812321,Gene_8886
ILMN_1662949,Gene_8887
ILMN_1781742,Gene_8888
ILMN_2405233,Gene_8889
ILMN_1777745,Gene_8890
ILMN_1654851,Gene_8891
ILMN_1811330,Gene_8892
ILMN_2283597,Gene_8893
ILMN_2387952,Gene_8894
ILMN_1666449,Gene_8895
ILMN_1804454,Gene_8896
ILMN_2225608,Gene_8897
ILMN_1655307,Gene_8898
ILMN_1780798,Gene_8899
ILMN_1652494,Gene_8900
ILMN_1800267,Gene_8901
ILMN_2401253,Gene_8902
ILMN_2401258,Gene_8903
ILMN_1752510,Gene_8904
ILMN_2291092,Gene_8905
ILMN_2409055,Gene_8906
ILMN_2295280,Gene_8907
ILMN_1752343,Gene_8908
ILMN_1786278,Gene_8909
ILMN_1709626,Gene_8910
ILMN_1753933,Gene_8911
ILMN_2167259,Gene_8912
ILMN_2167252,Gene_8913
ILMN_1811450,Gene_8914
ILMN_2295387,Gene_8915
ILMN_1663518,Gene_8916
ILMN_2205470,Gene_8917
ILMN_1765002,Gene_8918
ILMN_2145914,Gene_8919
ILMN_1764959,Gene_8920
ILMN_2184884,Gene_8921
ILMN_2174658,Gene_8922
ILMN_1670076,Gene_8923
ILMN_1652000,Gene_8924
ILMN_1658160,Gene_8925
ILMN_1755677,Gene_8926
ILMN_2185675,Gene_8927
ILMN_1713402,Gene_8928
ILMN_1802971,Gene_8929
ILMN_1688031,Gene_8930
ILMN_1803647,Gene_8931
ILMN_1751326,Gene_8932
ILMN_1758599,Gene_8933
ILMN_1762843,Gene_8934
ILMN_2093072,Gene_8935
ILMN_1789558,Gene_8936
ILMN_2057981,Gene_8937
ILMN_2354269,Gene_8938
ILMN_1686043,Gene_8939
ILMN_1670923,Gene_8940
ILMN_1659856,Gene_8941
ILMN_2180773,Gene_8942
ILMN_1677122,Gene_8943
ILMN_1669566,Gene_8944
ILMN_1764704,Gene_8945
ILMN_1674608,Gene_8946
ILMN_1749868,Gene_8947
ILMN_1653376,Gene_8948
ILMN_1773780,Gene_8949
ILMN_1691946,Gene_8950
ILMN_1712577,Gene_8951
ILMN_2127722,Gene_8952
ILMN_1652797,Gene_8953
ILMN_1762615,Gene_8954
ILMN_1769092,Gene_8955
ILMN_2394438,Gene_8956
ILMN_1763603,Gene_8957
ILMN_2287276,Gene_8958
ILMN_1770576,Gene_8959
ILMN_1804993,Gene_8960
ILMN_1778876,Gene_8961
ILMN_1762696,Gene_8962
ILMN_1735502,Gene_8963
ILMN_1696699,Gene_8964
ILMN_1709367,Gene_8965
ILMN_1739559,Gene_8966
ILMN_1725594,Gene_8967
ILMN_1698038,Gene_8968
ILMN_1795026,Gene_8969
ILMN_1702056,Gene_8970
ILMN_2346769,Gene_8971
ILMN_1751492,Gene_8972
ILMN_1691431,Gene_8973
ILMN_1661593,Gene_8974
ILMN_1682823,Gene_8975
ILMN_1700597,Gene_8976
ILMN_1789407,Gene_8977
ILMN_2129388,Gene_8978
ILMN_1651504,Gene_8979
ILMN_1655626,Gene_8980
ILMN_1654630,Gene_8981
ILMN_1730601,Gene_8982
ILMN_1730523,Gene_8983
ILMN_1733799,Gene_8984
ILMN_2068522,Gene_8985
ILMN_1702199,Gene_8986
ILMN_1691876,Gene_8987
ILMN_2172318,Gene_8988
ILMN_1714271,Gene_8989
ILMN_1764364,Gene_8990
ILMN_2318885,Gene_8991
ILMN_1658710,Gene_8992
ILMN_1800705,Gene_8993
ILMN_2415474,Gene_8994
ILMN_1712065,Gene_8995
ILMN_1812091,Gene_8996
ILMN_1811373,Gene_8997
ILMN_1703009,Gene_8998
ILMN_1712684,Gene_8999
ILMN_1757634,Gene_9000
ILMN_1683165,Gene_9001
ILMN_2191313,Gene_9002
ILMN_1733736,Gene_9003
ILMN_1703860,Gene_9004
ILMN_1732699,Gene_9005
ILMN_1777990,Gene_9006
ILMN_1727249,Gene_9007
ILMN_1672753,Gene_9008
ILMN_1670189,Gene_9009
ILMN_1691201,Gene_9010
ILMN_1766660,Gene_9011
ILMN_1707694,Gene_9012
ILMN_1674787,Gene_9013
ILMN_1748809,Gene_9014
ILMN_1683119,Gene_9015
ILMN_2198802,Gene_9016
ILMN_1776905,Gene_9017
ILMN_1783969,Gene_9018
ILMN_1659536,Gene_9019
ILMN_2140799,Gene_9020
ILMN_1661022,Gene_9021
ILMN_1679130,Gene_9022
ILMN_2231436,Gene_9023
ILMN_2066849,Gene_9024
ILMN_1749083,Gene_9025
ILMN_1724309,Gene_9026
ILMN_1761594,Gene_9027
ILMN_1808584,Gene_9028
ILMN_1752249,Gene_9029
ILMN_1665686,Gene_9030
ILMN_1785528,Gene_9031
ILMN_1739199,Gene_9032
ILMN_1768861,Gene_9033
ILMN_1713406,Gene_9034
ILMN_1723657,Gene_9035
ILMN_1655952,Gene_9036
ILMN_1808356,Gene_9037
ILMN_1685767,Gene_9038
ILMN_2355486,Gene_9039
ILMN_1777261,Gene_9040
ILMN_2368773,Gene_9041
ILMN_1720433,Gene_9042
ILMN_1791217,Gene_9043
ILMN_2161285,Gene_9044
ILMN_2161286,Gene_9045
ILMN_1670352,Gene_9046
ILMN_1706015,Gene_9047
ILMN_1754921,Gene_9048
ILMN_1695856,Gene_9049
ILMN_1716730,Gene_9050
ILMN_1691760,Gene_9051
ILMN_1797116,Gene_9052
ILMN_1740466,Gene_9053
ILMN_1808011,Gene_9054
ILMN_1713266,Gene_9055
ILMN_2207726,Gene_9056
ILMN_1779861,Gene_9057
ILMN_2168903,Gene_9058
ILMN_1778940,Gene_9059
ILMN_2071473,Gene_9060
ILMN_1758171,Gene_9061
ILMN_1802376,Gene_9062
ILMN_1669555,Gene_9063
ILMN_1681553,Gene_9064
ILMN_1653742,Gene_9065
ILMN_1794038,Gene_9066
ILMN_2122374,Gene_9067
ILMN_1809400,Gene_9068
ILMN_1725130,Gene_9069
ILMN_2153466,Gene_9070
ILMN_1658452,Gene_9071
ILMN_2053490,Gene_9072
ILMN_1704571,Gene_9073
ILMN_1744508,Gene_9074
ILMN_2139827,Gene_9075
ILMN_1697998,Gene_9076
ILMN_2171481,Gene_9077
ILMN_1672264,Gene_9078
ILMN_1814924,Gene_9079
ILMN_1806386,Gene_9080
ILMN_2379920,Gene_9081
ILMN_2278984,Gene_9082
ILMN_1673899,Gene_9083
ILMN_1770623,Gene_9084
ILMN_1787681,Gene_9085
ILMN_1707553,Gene_9086
ILMN_1707689,Gene_9087
ILMN_1778844,Gene_9088
ILMN_1758943,Gene_9089
ILMN_2092589,Gene_9090
ILMN_2057573,Gene_9091
ILMN_1745764,Gene_9092
ILMN_1755721,Gene_9093
ILMN_1689552,Gene_9094
ILMN_1774259,Gene_9095
ILMN_1728972,Gene_9096
ILMN_1680037,Gene_9097
ILMN_1726597,Gene_9098
ILMN_1756654,Gene_9099
ILMN_1682577,Gene_9100
ILMN_1669044,Gene_9101
ILMN_1757440,Gene_9102
ILMN_1718446,Gene_9103
ILMN_2180252,Gene_9104
ILMN_1699978,Gene_9105
ILMN_1667437,Gene_9106
ILMN_2343273,Gene_9107
ILMN_1723300,Gene_9108
ILMN_1792014,Gene_9109
ILMN_1709472,Gene_9110
ILMN_1705659,Gene_9111
ILMN_1798547,Gene_9112
ILMN_1732717,Gene_9113
ILMN_1659464,Gene_9114
ILMN_1788806,Gene_9115
ILMN_1719870,Gene_9116
ILMN_2123559,Gene_9117
ILMN_2123557,Gene_9118
ILMN_1701940,Gene_9119
ILMN_1709379,Gene_9120
ILMN_2150446,Gene_9121
ILMN_1788638,Gene_9122
ILMN_1772728,Gene_9123
ILMN_2133713,Gene_9124
ILMN_2130514,Gene_9125
ILMN_1801304,Gene_9126
ILMN_1749960,Gene_9127
ILMN_1749474,Gene_9128
ILMN_1660819,Gene_9129
ILMN_1661387,Gene_9130
ILMN_1704134,Gene_9131
ILMN_1780808,Gene_9132
ILMN_1659862,Gene_9133
ILMN_1720557,Gene_9134
ILMN_1706664,Gene_9135
ILMN_1681757,Gene_9136
ILMN_1699623,Gene_9137
ILMN_1759679,Gene_9138
ILMN_1812302,Gene_9139
ILMN_1727309,Gene_9140
ILMN_1772973,Gene_9141
ILMN_1752995,Gene_9142
ILMN_2239774,Gene_9143
ILMN_1670158,Gene_9144
ILMN_1782863,Gene_9145
ILMN_1673356,Gene_9146
ILMN_1781943,Gene_9147
ILMN_1658301,Gene_9148
ILMN_1683231,Gene_9149
ILMN_2122848,Gene_9150
ILMN_1751328,Gene_9151
ILMN_2219199,Gene_9152
ILMN_1670807,Gene_9153
ILMN_1780298,Gene_9154
ILMN_2400250,Gene_9155
ILMN_1769532,Gene_9156
ILMN_1655051,Gene_9157
ILMN_1658861,Gene_9158
ILMN_1753482,Gene_9159
ILMN_1754841,Gene_9160
ILMN_1712859,Gene_9161
ILMN_1652677,Gene_9162
ILMN_1710075,Gene_9163
ILMN_2285817,Gene_9164
ILMN_1804117,Gene_9165
ILMN_1807448,Gene_9166
ILMN_1696684,Gene_9167
ILMN_1748555,Gene_9168
ILMN_1751044,Gene_9169
ILMN_1658938,Gene_9170
ILMN_1748539,Gene_9171
ILMN_1664907,Gene_9172
ILMN_1793320,Gene_9173
ILMN_1660797,Gene_9174
ILMN_1805993,Gene_9175
ILMN_1723953,Gene_9176
ILMN_1725834,Gene_9177
ILMN_1778220,Gene_9178
ILMN_1699455,Gene_9179
ILMN_1697056,Gene_9180
ILMN_1717884,Gene_9181
ILMN_1777322,Gene_9182
ILMN_1783097,Gene_9183
ILMN_1784465,Gene_9184
ILMN_1748976,Gene_9185
ILMN_1685856,Gene_9186
ILMN_1693071,Gene_9187
ILMN_1761981,Gene_9188
ILMN_2367428,Gene_9189
ILMN_1779813,Gene_9190
ILMN_1735453,Gene_9191
ILMN_2242984,Gene_9192
ILMN_1763997,Gene_9193
ILMN_2313330,Gene_9194
ILMN_1771870,Gene_9195
ILMN_1670453,Gene_9196
ILMN_1778039,Gene_9197
ILMN_2153936,Gene_9198
ILMN_2153939,Gene_9199
ILMN_2098705,Gene_9200
ILMN_1775240,Gene_9201
ILMN_1799224,Gene_9202
ILMN_1769758,Gene_9203
ILMN_1682747,Gene_9204
ILMN_1726756,Gene_9205
ILMN_1698252,Gene_9206
ILMN_1683112,Gene_9207
ILMN_2235137,Gene_9208
ILMN_1657634,Gene_9209
ILMN_1712122,Gene_9210
ILMN_2043452,Gene_9211
ILMN_1682724,Gene_9212
ILMN_1758728,Gene_9213
ILMN_1655642,Gene_9214
ILMN_2188909,Gene_9215
ILMN_1754045,Gene_9216
ILMN_1811995,Gene_9217
ILMN_1773126,Gene_9218
ILMN_2232854,Gene_9219
ILMN_2143250,Gene_9220
ILMN_1694596,Gene_9221
ILMN_2202915,Gene_9222
ILMN_2271584,Gene_9223
ILMN_1712040,Gene_9224
ILMN_1813982,Gene_9225
ILMN_1678353,Gene_9226
ILMN_2062687,Gene_9227
ILMN_1793732,Gene_9228
ILMN_1778255,Gene_9229
ILMN_2055930,Gene_9230
ILMN_1765696,Gene_9231
ILMN_1808132,Gene_9232
ILMN_2319077,Gene_9233
ILMN_1781824,Gene_9234
ILMN_1784871,Gene_9235
ILMN_2407464,Gene_9236
ILMN_1691861,Gene_9237
ILMN_1664098,Gene_9238
ILMN_1751362,Gene_9239
ILMN_2053567,Gene_9240
ILMN_2129859,Gene_9241
ILMN_1750160,Gene_9242
ILMN_1733377,Gene_9243
ILMN_1754795,Gene_9244
ILMN_2128931,Gene_9245
ILMN_1780591,Gene_9246
ILMN_1761551,Gene_9247
ILMN_1720162,Gene_9248
ILMN_1806914,Gene_9249
ILMN_1664614,Gene_9250
ILMN_2290251,Gene_9251
ILMN_1730882,Gene_9252
ILMN_1719205,Gene_9253
ILMN_1799471,Gene_9254
ILMN_2353143,Gene_9255
ILMN_1691249,Gene_9256
ILMN_1710815,Gene_9257
ILMN_1700541,Gene_9258
ILMN_1672536,Gene_9259
ILMN_1686952,Gene_9260
ILMN_1722713,Gene_9261
ILMN_1721769,Gene_9262
ILMN_2390919,Gene_9263
ILMN_1774602,Gene_9264
ILMN_2223941,Gene_9265
ILMN_1664176,Gene_9266
ILMN_1735743,Gene_9267
ILMN_1783182,Gene_9268
ILMN_1670899,Gene_9269
ILMN_1719755,Gene_9270
ILMN_1728799,Gene_9271
ILMN_1804005,Gene_9272
ILMN_1752559,Gene_9273
ILMN_1658232,Gene_9274
ILMN_1794260,Gene_9275
ILMN_1693438,Gene_9276
ILMN_1791253,Gene_9277
ILMN_1767441,Gene_9278
ILMN_1663379,Gene_9279
ILMN_1697561,Gene_9280
ILMN_1715901,Gene_9281
ILMN_1670920,Gene_9282
ILMN_1671215,Gene_9283
ILMN_1688639,Gene_9284
ILMN_1754489,Gene_9285
ILMN_1717252,Gene_9286
ILMN_2199362,Gene_9287
ILMN_1794187,Gene_9288
ILMN_2071405,Gene_9289
ILMN_1671393,Gene_9290
ILMN_1735051,Gene_9291
ILMN_1673370,Gene_9292
ILMN_2378100,Gene_9293
ILMN_1799389,Gene_9294
ILMN_2352216,Gene_9295
ILMN_1705035,Gene_9296
ILMN_1682037,Gene_9297
ILMN_1716952,Gene_9298
ILMN_2089616,Gene_9299
ILMN_1733164,Gene_9300
ILMN_2285112,Gene_9301
ILMN_1765711,Gene_9302
ILMN_1678404,Gene_9303
ILMN_1713682,Gene_9304
ILMN_1755281,Gene_9305
ILMN_1715823,Gene_9306
ILMN_1789274,Gene_9307
ILMN_1714428,Gene_9308
ILMN_1743898,Gene_9309
ILMN_2368535,Gene_9310
ILMN_1664779,Gene_9311
ILMN_1729430,Gene_9312
ILMN_1689380,Gene_9313
ILMN_1803211,Gene_9314
ILMN_2358647,Gene_9315
ILMN_1745887,Gene_9316
ILMN_1701869,Gene_9317
ILMN_2252178,Gene_9318
ILMN_1786469,Gene_9319
ILMN_2166706,Gene_9320
ILMN_1786304,Gene_9321
ILMN_1686466,Gene_9322
ILMN_2383893,Gene_9323
ILMN_2367479,Gene_9324
ILMN_2367477,Gene_9325
ILMN_1721360,Gene_9326
ILMN_1812776,Gene_9327
ILMN_2045911,Gene_9328
ILMN_1749641,Gene_9329
ILMN_2273261,Gene_9330
ILMN_1729175,Gene_9331
ILMN_1672415,Gene_9332
ILMN_1700232,Gene_9333
ILMN_2168992,Gene_9334
ILMN_1771139,Gene_9335
ILMN_1652280,Gene_9336
ILMN_1760830,Gene_9337
ILMN_1703955,Gene_9338
ILMN_1664826,Gene_9339
ILMN_1765060,Gene_9340
ILMN_1756358,Gene_9341
ILMN_1686697,Gene_9342
ILMN_2362293,Gene_9343
ILMN_1754811,Gene_9344
ILMN_1814890,Gene_9345
ILMN_1757355,Gene_9346
ILMN_1656691,Gene_9347
ILMN_1755811,Gene_9348
ILMN_1762155,Gene_9349
ILMN_1880834,Gene_9350
ILMN_1756874,Gene_9351
ILMN_1670087,Gene_9352
ILMN_2344907,Gene_9353
ILMN_1732182,Gene_9354
ILMN_2325625,Gene_9355
ILMN_1651597,Gene_9356
ILMN_1747119,Gene_9357
ILMN_2350266,Gene_9358
ILMN_1797542,Gene_9359
ILMN_1656342,Gene_9360
ILMN_2102257,Gene_9361
ILMN_1710676,Gene_9362
ILMN_2121555,Gene_9363
ILMN_1701455,Gene_9364
ILMN_1667112,Gene_9365
ILMN_1715963,Gene_9366
ILMN_1745962,Gene_9367
ILMN_1672843,Gene_9368
ILMN_1667120,Gene_9369
ILMN_1717063,Gene_9370
ILMN_1702928,Gene_9371
ILMN_1777180,Gene_9372
ILMN_1727393,Gene_9373
ILMN_2394576,Gene_9374
ILMN_1735655,Gene_9375
ILMN_1766983,Gene_9376
ILMN_2394571,Gene_9377
ILMN_1674756,Gene_9378
ILMN_1775753,Gene_9379
ILMN_1671427,Gene_9380
ILMN_1805662,Gene_9381
ILMN_1701375,Gene_9382
ILMN_1702243,Gene_9383
ILMN_1668634,Gene_9384
ILMN_1655906,Gene_9385
ILMN_1754279,Gene_9386
ILMN_1770484,Gene_9387
ILMN_1709056,Gene_9388
ILMN_1812359,Gene_9389
ILMN_2342793,Gene_9390
ILMN_1750661,Gene_9391
ILMN_1801743,Gene_9392
ILMN_2206009,Gene_9393
ILMN_2279367,Gene_9394
ILMN_2379967,Gene_9395
ILMN_2365091,Gene_9396
ILMN_1688423,Gene_9397
ILMN_2123743,Gene_9398
ILMN_1662451,Gene_9399
ILMN_2189869,Gene_9400
ILMN_2189870,Gene_9401
ILMN_1718984,Gene_9402
ILMN_2302757,Gene_9403
ILMN_1700156,Gene_9404
ILMN_2176063,Gene_9405
ILMN_2261600,Gene_9406
ILMN_2391051,Gene_9407
ILMN_2289849,Gene_9408
ILMN_1666932,Gene_9409
ILMN_1810687,Gene_9410
ILMN_1706523,Gene_9411
ILMN_1804174,Gene_9412
ILMN_1660027,Gene_9413
ILMN_2382403,Gene_9414
ILMN_2331121,Gene_9415
ILMN_1703679,Gene_9416
ILMN_2112580,Gene_9417
ILMN_1728639,Gene_9418
ILMN_2134453,Gene_9419
ILMN_1705302,Gene_9420
ILMN_1654571,Gene_9421
ILMN_1670322,Gene_9422
ILMN_1783847,Gene_9423
ILMN_2102702,Gene_9424
ILMN_1815734,Gene_9425
ILMN_1668063,Gene_9426
ILMN_1793504,Gene_9427
ILMN_1714057,Gene_9428
ILMN_1780060,Gene_9429
ILMN_2349771,Gene_9430
ILMN_2226183,Gene_9431
ILMN_1761873,Gene_9432
ILMN_1791329,Gene_9433
ILMN_1665152,Gene_9434
ILMN_1699599,Gene_9435
ILMN_1797428,Gene_9436
ILMN_1691693,Gene_9437
ILMN_1738517,Gene_9438
ILMN_1684445,Gene_9439
ILMN_2105223,Gene_9440
ILMN_2074762,Gene_9441
ILMN_1691071,Gene_9442
ILMN_1782015,Gene_9443
ILMN_1741096,Gene_9444
ILMN_2144088,Gene_9445
ILMN_1804248,Gene_9446
ILMN_1699178,Gene_9447
ILMN_2198812,Gene_9448
ILMN_1744628,Gene_9449
ILMN_1811696,Gene_9450
ILMN_2414302,Gene_9451
ILMN_2364305,Gene_9452
ILMN_1774091,Gene_9453
ILMN_1719985,Gene_9454
ILMN_1744239,Gene_9455
ILMN_1703330,Gene_9456
ILMN_1755834,Gene_9457
ILMN_2160929,Gene_9458
ILMN_1789618,Gene_9459
ILMN_1810289,Gene_9460
ILMN_2370976,Gene_9461
ILMN_2206722,Gene_9462
ILMN_1809199,Gene_9463
ILMN_1725220,Gene_9464
ILMN_1690530,Gene_9465
ILMN_1721475,Gene_9466
ILMN_1696585,Gene_9467
ILMN_1695290,Gene_9468
ILMN_2366330,Gene_9469
ILMN_2366334,Gene_9470
ILMN_1693650,Gene_9471
ILMN_1685483,Gene_9472
ILMN_1751460,Gene_9473
ILMN_1727992,Gene_9474
ILMN_2263054,Gene_9475
ILMN_1779071,Gene_9476
ILMN_1794106,Gene_9477
ILMN_2403946,Gene_9478
ILMN_1739586,Gene_9479
ILMN_1813585,Gene_9480
ILMN_1750706,Gene_9481
ILMN_1756285,Gene_9482
ILMN_1797895,Gene_9483
ILMN_1802735,Gene_9484
ILMN_2280203,Gene_9485
ILMN_1656487,Gene_9486
ILMN_2381945,Gene_9487
ILMN_1659947,Gene_9488
ILMN_1779017,Gene_9489
ILMN_2114972,Gene_9490
ILMN_1678049,Gene_9491
ILMN_1764314,Gene_9492
ILMN_2115011,Gene_9493
ILMN_2115005,Gene_9494
ILMN_1772686,Gene_9495
ILMN_1698728,Gene_9496
ILMN_2104141,Gene_9497
ILMN_2190598,Gene_9498
ILMN_1753322,Gene_9499
ILMN_2349982,Gene_9500
ILMN_1699735,Gene_9501
ILMN_2110110,Gene_9502
ILMN_1719938,Gene_9503
ILMN_1672229,Gene_9504
ILMN_1677680,Gene_9505
ILMN_1810283,Gene_9506
ILMN_1653826,Gene_9507
ILMN_1690984,Gene_9508
ILMN_1671777,Gene_9509
ILMN_1751495,Gene_9510
ILMN_1732976,Gene_9511
ILMN_1785564,Gene_9512
ILMN_1781390,Gene_9513
ILMN_1797030,Gene_9514
ILMN_1693483,Gene_9515
ILMN_1760909,Gene_9516
ILMN_2105919,Gene_9517
ILMN_1744693,Gene_9518
ILMN_1788232,Gene_9519
ILMN_2153061,Gene_9520
ILMN_1772789,Gene_9521
ILMN_2056569,Gene_9522
ILMN_2095633,Gene_9523
ILMN_2071316,Gene_9524
ILMN_1696488,Gene_9525
ILMN_1723227,Gene_9526
ILMN_1677456,Gene_9527
ILMN_2399100,Gene_9528
ILMN_1740871,Gene_9529
ILMN_1764605,Gene_9530
ILMN_2188091,Gene_9531
ILMN_1731240,Gene_9532
ILMN_1812517,Gene_9533
ILMN_2345749,Gene_9534
ILMN_1762531,Gene_9535
ILMN_1785404,Gene_9536
ILMN_1761945,Gene_9537
ILMN_1686961,Gene_9538
ILMN_1729369,Gene_9539
ILMN_2398261,Gene_9540
ILMN_1796229,Gene_9541
ILMN_2411116,Gene_9542
ILMN_1657436,Gene_9543
ILMN_1682270,Gene_9544
ILMN_1651966,Gene_9545
ILMN_1723123,Gene_9546
ILMN_2410713,Gene_9547
ILMN_2241412,Gene_9548
ILMN_1730355,Gene_9549
ILMN_1795865,Gene_9550
ILMN_2348367,Gene_9551
ILMN_1703188,Gene_9552
ILMN_2315044,Gene_9553
ILMN_1737683,Gene_9554
ILMN_1672872,Gene_9555
ILMN_2366192,Gene_9556
ILMN_2326197,Gene_9557
ILMN_1731222,Gene_9558
ILMN_1803597,Gene_9559
ILMN_1682828,Gene_9560
ILMN_1693009,Gene_9561
ILMN_1795158,Gene_9562
ILMN_2272519,Gene_9563
ILMN_2368318,Gene_9564
ILMN_1719392,Gene_9565
ILMN_1699206,Gene_9566
ILMN_1766123,Gene_9567
ILMN_1805842,Gene_9568
ILMN_2355831,Gene_9569
ILMN_1668411,Gene_9570
ILMN_2265783,Gene_9571
ILMN_1678643,Gene_9572
ILMN_1703558,Gene_9573
ILMN_1669023,Gene_9574
ILMN_1651776,Gene_9575
ILMN_1761322,Gene_9576
ILMN_1727135,Gene_9577
ILMN_1716247,Gene_9578
ILMN_1657797,Gene_9579
ILMN_2411139,Gene_9580
ILMN_1778064,Gene_9581
ILMN_1800889,Gene_9582
ILMN_1707612,Gene_9583
ILMN_1801927,Gene_9584
ILMN_1676307,Gene_9585
ILMN_2389114,Gene_9586
ILMN_1778152,Gene_9587
ILMN_1657039,Gene_9588
ILMN_1738578,Gene_9589
ILMN_1730906,Gene_9590
ILMN_2391150,Gene_9591
ILMN_1784407,Gene_9592
ILMN_2190942,Gene_9593
ILMN_1768743,Gene_9594
ILMN_1662880,Gene_9595
ILMN_1658351,Gene_9596
ILMN_1764557,Gene_9597
ILMN_2338593,Gene_9598
ILMN_1781803,Gene_9599
ILMN_1746465,Gene_9600
ILMN_1659905,Gene_9601
ILMN_1787345,Gene_9602
ILMN_2150294,Gene_9603
ILMN_1665243,Gene_9604
ILMN_1804863,Gene_9605
ILMN_1702237,Gene_9606
ILMN_1683969,Gene_9607
ILMN_2333367,Gene_9608
ILMN_1683658,Gene_9609
ILMN_2303955,Gene_9610
ILMN_1674337,Gene_9611
ILMN_1678080,Gene_9612
ILMN_1807563,Gene_9613
ILMN_1654691,Gene_9614
ILMN_2104784,Gene_9615
ILMN_1782045,Gene_9616
ILMN_1778444,Gene_9617
ILMN_1815444,Gene_9618
ILMN_1717737,Gene_9619
ILMN_1685084,Gene_9620
ILMN_1733947,Gene_9621
ILMN_1666121,Gene_9622
ILMN_2145143,Gene_9623
ILMN_2089977,Gene_9624
ILMN_1781585,Gene_9625
ILMN_1791052,Gene_9626
ILMN_2368617,Gene_9627
ILMN_1753597,Gene_9628
ILMN_1720928,Gene_9629
ILMN_2112673,Gene_9630
ILMN_1814998,Gene_9631
ILMN_2157932,Gene_9632
ILMN_1776822,Gene_9633
ILMN_1709722,Gene_9634
ILMN_2357386,Gene_9635
ILMN_1784156,Gene_9636
ILMN_1730325,Gene_9637
ILMN_1663667,Gene_9638
ILMN_1670008,Gene_9639
ILMN_1683390,Gene_9640
ILMN_1814952,Gene_9641
ILMN_1655525,Gene_9642
ILMN_2134130,Gene_9643
ILMN_1743715,Gene_9644
ILMN_2233229,Gene_9645
ILMN_1665738,Gene_9646
ILMN_1737170,Gene_9647
ILMN_1652881,Gene_9648
ILMN_1660982,Gene_9649
ILMN_1756621,Gene_9650
ILMN_1729323,Gene_9651
ILMN_1745217,Gene_9652
ILMN_1785277,Gene_9653
ILMN_2186877,Gene_9654
ILMN_1712211,Gene_9655
ILMN_2098297,Gene_9656
ILMN_1800911,Gene_9657
ILMN_1705743,Gene_9658
ILMN_1703430,Gene_9659
ILMN_1794490,Gene_9660
ILMN_1793012,Gene_9661
ILMN_2173294,Gene_9662
ILMN_1737604,Gene_9663
ILMN_1694269,Gene_9664
ILMN_1689831,Gene_9665
ILMN_1695562,Gene_9666
ILMN_1679003,Gene_9667
ILMN_1798947,Gene_9668
ILMN_1775444,Gene_9669
ILMN_1726952,Gene_9670
ILMN_1775664,Gene_9671
ILMN_1697115,Gene_9672
ILMN_1680494,Gene_9673
ILMN_2072622,Gene_9674
ILMN_1718061,Gene_9675
ILMN_2347748,Gene_9676
ILMN_1678674,Gene_9677
ILMN_1664124,Gene_9678
ILMN_2120072,Gene_9679
ILMN_2162135,Gene_9680
