hsa-let-7a-1,Gene_1
hsa-mir-203b,Gene_2156
hsa-mir-204,Gene_2157
hsa-mir-205,Gene_2158
hsa-mir-2052,Gene_2159
hsa-mir-2053,Gene_2160
hsa-mir-2054,Gene_2161
hsa-mir-206,Gene_2162
hsa-mir-208a,Gene_2163
hsa-mir-208b,Gene_2164
hsa-mir-20a,Gene_2165
hsa-mir-20b,Gene_2166
hsa-mir-21,Gene_2167
hsa-mir-210,Gene_2168
hsa-mir-211,Gene_2169
hsa-mir-2110,Gene_2170
hsa-mir-2113,Gene_2171
hsa-mir-2114,Gene_2172
hsa-mir-2115,Gene_2173
hsa-mir-2116,Gene_2174
hsa-mir-2117,Gene_2175
hsa-mir-212,Gene_2176
hsa-mir-214,Gene_2177
hsa-mir-215,Gene_2178
hsa-mir-216a,Gene_2179
hsa-mir-216b,Gene_2180
hsa-mir-217,Gene_2181
hsa-mir-218-1,Gene_2182
hsa-mir-218-2,Gene_2183
hsa-mir-219a-1,Gene_2184
hsa-mir-219a-2,Gene_2185
hsa-mir-219b,Gene_2186
hsa-mir-22,Gene_2187
hsa-mir-221,Gene_2188
hsa-mir-222,Gene_2189
hsa-mir-223,Gene_2190
hsa-mir-224,Gene_2191
hsa-mir-2276,Gene_2192
hsa-mir-2277,Gene_2193
hsa-mir-2278,Gene_2194
hsa-mir-2355,Gene_2195
hsa-mir-2392,Gene_2196
hsa-mir-23a,Gene_2197
hsa-mir-23b,Gene_2198
hsa-mir-23c,Gene_2199
hsa-mir-24-1,Gene_2200
hsa-mir-24-2,Gene_2201
hsa-mir-2467,Gene_2202
hsa-mir-25,Gene_2203
hsa-mir-2681,Gene_2204
hsa-mir-2682,Gene_2205
hsa-mir-26a-1,Gene_2206
hsa-mir-26a-2,Gene_2207
hsa-mir-26b,Gene_2208
hsa-mir-27a,Gene_2209
hsa-mir-27b,Gene_2210
hsa-mir-28,Gene_2211
hsa-mir-2861,Gene_2212
hsa-mir-2909,Gene_2213
hsa-mir-296,Gene_2214
hsa-mir-297,Gene_2215
hsa-mir-298,Gene_2216
hsa-mir-299,Gene_2217
hsa-mir-29a,Gene_2218
hsa-mir-29b-1,Gene_2219
hsa-mir-29b-2,Gene_2220
hsa-mir-29c,Gene_2221
hsa-mir-300,Gene_2222
hsa-mir-301a,Gene_2223
hsa-mir-301b,Gene_2224
hsa-mir-302a,Gene_2225
hsa-mir-302b,Gene_2226
hsa-mir-302c,Gene_2227
hsa-mir-302d,Gene_2228
hsa-mir-302e,Gene_2229
hsa-mir-302f,Gene_2230
hsa-mir-3064,Gene_2231
hsa-mir-3065,Gene_2232
hsa-mir-3074,Gene_2233
hsa-mir-30a,Gene_2234
hsa-mir-30b,Gene_2235
hsa-mir-30c-1,Gene_2236
hsa-mir-30c-2,Gene_2237
hsa-mir-30d,Gene_2238
hsa-mir-30e,Gene_2239
hsa-mir-31,Gene_2240
hsa-mir-3115,Gene_2241
hsa-mir-3116-1,Gene_2242
hsa-mir-3116-2,Gene_2243
hsa-mir-3117,Gene_2244
hsa-mir-3118-1,Gene_2245
hsa-mir-3118-2,Gene_2246
hsa-mir-3118-3,Gene_2247
hsa-mir-3118-4,Gene_2248
hsa-mir-3119-1,Gene_2249
hsa-mir-3119-2,Gene_2250
hsa-mir-3120,Gene_2251
hsa-mir-3121,Gene_2252
hsa-mir-3122,Gene_2253
hsa-mir-3123,Gene_2254
hsa-mir-3124,Gene_2255
hsa-mir-3125,Gene_2256
hsa-mir-3126,Gene_2257
hsa-mir-3127,Gene_2258
hsa-mir-3128,Gene_2259
hsa-mir-3129,Gene_2260
hsa-mir-3130-1,Gene_2261
hsa-mir-3130-2,Gene_2262
hsa-mir-3131,Gene_2263
hsa-mir-3132,Gene_2264
hsa-mir-3133,Gene_2265
hsa-mir-3134,Gene_2266
hsa-mir-3135a,Gene_2267
hsa-mir-3135b,Gene_2268
hsa-mir-3136,Gene_2269
hsa-mir-3137,Gene_2270
hsa-mir-3138,Gene_2271
hsa-mir-3139,Gene_2272
hsa-mir-3140,Gene_2273
hsa-mir-3141,Gene_2274
hsa-mir-3142,Gene_2275
hsa-mir-3143,Gene_2276
hsa-mir-3144,Gene_2277
hsa-mir-3145,Gene_2278
hsa-mir-3146,Gene_2279
hsa-mir-3147,Gene_2280
hsa-mir-3148,Gene_2281
hsa-mir-3149,Gene_2282
hsa-mir-3150a,Gene_2283
hsa-mir-3150b,Gene_2284
hsa-mir-3151,Gene_2285
hsa-mir-3152,Gene_2286
hsa-mir-3153,Gene_2287
hsa-mir-3154,Gene_2288
hsa-mir-3155a,Gene_2289
hsa-mir-3155b,Gene_2290
hsa-mir-3156-1,Gene_2291
hsa-mir-3156-2,Gene_2292
hsa-mir-3156-3,Gene_2293
hsa-mir-3157,Gene_2294
hsa-mir-3158-1,Gene_2295
hsa-mir-3158-2,Gene_2296
hsa-mir-3159,Gene_2297
hsa-mir-3160-1,Gene_2298
hsa-mir-3160-2,Gene_2299
hsa-mir-3161,Gene_2300
hsa-mir-3162,Gene_2301
hsa-mir-3163,Gene_2302
hsa-mir-3164,Gene_2303
hsa-mir-3165,Gene_2304
hsa-mir-3166,Gene_2305
hsa-mir-3167,Gene_2306
hsa-mir-3168,Gene_2307
hsa-mir-3169,Gene_2308
hsa-mir-3170,Gene_2309
hsa-mir-3171,Gene_2310
hsa-mir-3173,Gene_2311
hsa-mir-3174,Gene_2312
hsa-mir-3175,Gene_2313
hsa-mir-3176,Gene_2314
hsa-mir-3177,Gene_2315
hsa-mir-3178,Gene_2316
hsa-mir-3179-1,Gene_2317
hsa-mir-3179-2,Gene_2318
hsa-mir-3179-3,Gene_2319
hsa-mir-3179-4,Gene_2320
hsa-mir-3180-1,Gene_2321
hsa-mir-3180-2,Gene_2322
hsa-mir-3180-3,Gene_2323
hsa-mir-3180-4,Gene_2324
hsa-mir-3180-5,Gene_2325
hsa-mir-3181,Gene_2326
hsa-mir-3182,Gene_2327
hsa-mir-3183,Gene_2328
hsa-mir-3184,Gene_2329
hsa-mir-3185,Gene_2330
hsa-mir-3186,Gene_2331
hsa-mir-3187,Gene_2332
hsa-mir-3188,Gene_2333
hsa-mir-3189,Gene_2334
hsa-mir-3190,Gene_2335
hsa-mir-3191,Gene_2336
hsa-mir-3192,Gene_2337
hsa-mir-3193,Gene_2338
hsa-mir-3194,Gene_2339
hsa-mir-3195,Gene_2340
hsa-mir-3196,Gene_2341
hsa-mir-3197,Gene_2342
hsa-mir-3198-1,Gene_2343
hsa-mir-3198-2,Gene_2344
hsa-mir-3199-1,Gene_2345
hsa-mir-3199-2,Gene_2346
hsa-mir-32,Gene_2347
hsa-mir-3200,Gene_2348
hsa-mir-3201,Gene_2349
hsa-mir-3202-1,Gene_2350
hsa-mir-3202-2,Gene_2351
hsa-mir-320a,Gene_2352
hsa-mir-320b-1,Gene_2353
hsa-mir-320b-2,Gene_2354
hsa-mir-320c-1,Gene_2355
hsa-mir-320c-2,Gene_2356
hsa-mir-320d-1,Gene_2357
hsa-mir-320d-2,Gene_2358
hsa-mir-320e,Gene_2359
hsa-mir-323a,Gene_2360
hsa-mir-323b,Gene_2361
hsa-mir-324,Gene_2362
hsa-mir-325,Gene_2363
hsa-mir-326,Gene_2364
hsa-mir-328,Gene_2365
hsa-mir-329-1,Gene_2366
hsa-mir-329-2,Gene_2367
hsa-mir-330,Gene_2368
hsa-mir-331,Gene_2369
hsa-mir-335,Gene_2370
hsa-mir-337,Gene_2371
hsa-mir-338,Gene_2372
hsa-mir-339,Gene_2373
hsa-mir-33a,Gene_2374
hsa-mir-33b,Gene_2375
hsa-mir-340,Gene_2376
hsa-mir-342,Gene_2377
hsa-mir-345,Gene_2378
hsa-mir-346,Gene_2379
hsa-mir-34a,Gene_2380
hsa-mir-34b,Gene_2381
hsa-mir-34c,Gene_2382
hsa-mir-3529,Gene_2383
hsa-mir-3591,Gene_2384
hsa-mir-3605,Gene_2385
hsa-mir-3606,Gene_2386
hsa-mir-3607,Gene_2387
hsa-mir-3609,Gene_2388
hsa-mir-361,Gene_2389
hsa-mir-3610,Gene_2390
hsa-mir-3611,Gene_2391
hsa-mir-3612,Gene_2392
hsa-mir-3613,Gene_2393
hsa-mir-3614,Gene_2394
hsa-mir-3615,Gene_2395
hsa-mir-3616,Gene_2396
hsa-mir-3617,Gene_2397
hsa-mir-3618,Gene_2398
hsa-mir-3619,Gene_2399
hsa-mir-362,Gene_2400
hsa-mir-3620,Gene_2401
hsa-mir-3621,Gene_2402
hsa-mir-3622a,Gene_2403
hsa-mir-3622b,Gene_2404
hsa-mir-363,Gene_2405
hsa-mir-3646,Gene_2406
hsa-mir-3648-1,Gene_2407
hsa-mir-3648-2,Gene_2408
hsa-mir-3649,Gene_2409
hsa-mir-3650,Gene_2410
hsa-mir-3651,Gene_2411
hsa-mir-3652,Gene_2412
hsa-mir-3653,Gene_2413
hsa-mir-3654,Gene_2414
hsa-mir-3655,Gene_2415
hsa-mir-3656,Gene_2416
hsa-mir-3657,Gene_2417
hsa-mir-3658,Gene_2418
hsa-mir-3659,Gene_2419
hsa-mir-365a,Gene_2420
hsa-mir-365b,Gene_2421
hsa-mir-3660,Gene_2422
hsa-mir-3661,Gene_2423
hsa-mir-3662,Gene_2424
hsa-mir-3663,Gene_2425
hsa-mir-3664,Gene_2426
hsa-mir-3665,Gene_2427
hsa-mir-3666,Gene_2428
hsa-mir-3667,Gene_2429
hsa-mir-3668,Gene_2430
hsa-mir-367,Gene_2431
hsa-mir-3670-1,Gene_2432
hsa-mir-3670-2,Gene_2433
hsa-mir-3670-3,Gene_2434
hsa-mir-3670-4,Gene_2435
hsa-mir-3671,Gene_2436
hsa-mir-3672,Gene_2437
hsa-mir-3674,Gene_2438
hsa-mir-3675,Gene_2439
hsa-mir-3677,Gene_2440
hsa-mir-3678,Gene_2441
hsa-mir-3679,Gene_2442
hsa-mir-3680-1,Gene_2443
hsa-mir-3680-2,Gene_2444
hsa-mir-3681,Gene_2445
hsa-mir-3682,Gene_2446
hsa-mir-3683,Gene_2447
hsa-mir-3684,Gene_2448
hsa-mir-3685,Gene_2449
hsa-mir-3686,Gene_2450
hsa-mir-3687-1,Gene_2451
hsa-mir-3687-2,Gene_2452
hsa-mir-3688-1,Gene_2453
hsa-mir-3688-2,Gene_2454
hsa-mir-3689a,Gene_2455
hsa-mir-3689b,Gene_2456
hsa-mir-3689c,Gene_2457
hsa-mir-3689d-1,Gene_2458
hsa-mir-3689d-2,Gene_2459
hsa-mir-3689e,Gene_2460
hsa-mir-3689f,Gene_2461
hsa-mir-369,Gene_2462
hsa-mir-3690-1,Gene_2463
hsa-mir-3690-2,Gene_2464
hsa-mir-3691,Gene_2465
hsa-mir-3692,Gene_2466
hsa-mir-370,Gene_2467
hsa-mir-3713,Gene_2468
hsa-mir-3714,Gene_2469
hsa-mir-371a,Gene_2470
hsa-mir-371b,Gene_2471
hsa-mir-372,Gene_2472
hsa-mir-373,Gene_2473
hsa-mir-374a,Gene_2474
hsa-mir-374b,Gene_2475
hsa-mir-374c,Gene_2476
hsa-mir-375,Gene_2477
hsa-mir-376a-1,Gene_2478
hsa-mir-376a-2,Gene_2479
hsa-mir-376b,Gene_2480
hsa-mir-376c,Gene_2481
hsa-mir-377,Gene_2482
hsa-mir-378a,Gene_2483
hsa-mir-378b,Gene_2484
hsa-mir-378c,Gene_2485
hsa-mir-378d-1,Gene_2486
hsa-mir-378d-2,Gene_2487
hsa-mir-378e,Gene_2488
hsa-mir-378f,Gene_2489
hsa-mir-378g,Gene_2490
hsa-mir-378h,Gene_2491
hsa-mir-378i,Gene_2492
hsa-mir-378j,Gene_2493
hsa-mir-379,Gene_2494
hsa-mir-380,Gene_2495
hsa-mir-381,Gene_2496
hsa-mir-382,Gene_2497
hsa-mir-383,Gene_2498
hsa-mir-384,Gene_2499
hsa-mir-3907,Gene_2500
hsa-mir-3908,Gene_2501
hsa-mir-3909,Gene_2502
hsa-mir-3910-1,Gene_2503
hsa-mir-3910-2,Gene_2504
hsa-mir-3911,Gene_2505
hsa-mir-3912,Gene_2506
hsa-mir-3913-1,Gene_2507
hsa-mir-3913-2,Gene_2508
hsa-mir-3914-1,Gene_2509
hsa-mir-3914-2,Gene_2510
hsa-mir-3915,Gene_2511
hsa-mir-3916,Gene_2512
hsa-mir-3917,Gene_2513
hsa-mir-3918,Gene_2514
hsa-mir-3919,Gene_2515
hsa-mir-3920,Gene_2516
hsa-mir-3921,Gene_2517
hsa-mir-3922,Gene_2518
hsa-mir-3923,Gene_2519
hsa-mir-3924,Gene_2520
hsa-mir-3925,Gene_2521
hsa-mir-3926-1,Gene_2522
hsa-mir-3926-2,Gene_2523
hsa-mir-3927,Gene_2524
hsa-mir-3928,Gene_2525
hsa-mir-3929,Gene_2526
hsa-mir-3934,Gene_2527
hsa-mir-3935,Gene_2528
hsa-mir-3936,Gene_2529
hsa-mir-3937,Gene_2530
hsa-mir-3938,Gene_2531
hsa-mir-3939,Gene_2532
hsa-mir-3940,Gene_2533
hsa-mir-3941,Gene_2534
hsa-mir-3942,Gene_2535
hsa-mir-3943,Gene_2536
hsa-mir-3944,Gene_2537
hsa-mir-3945,Gene_2538
hsa-mir-3960,Gene_2539
hsa-mir-3972,Gene_2540
hsa-mir-3973,Gene_2541
hsa-mir-3974,Gene_2542
hsa-mir-3975,Gene_2543
hsa-mir-3976,Gene_2544
hsa-mir-3977,Gene_2545
hsa-mir-3978,Gene_2546
hsa-mir-409,Gene_2547
hsa-mir-410,Gene_2548
hsa-mir-411,Gene_2549
hsa-mir-412,Gene_2550
hsa-mir-421,Gene_2551
hsa-mir-422a,Gene_2552
hsa-mir-423,Gene_2553
hsa-mir-424,Gene_2554
hsa-mir-425,Gene_2555
hsa-mir-4251,Gene_2556
hsa-mir-4252,Gene_2557
hsa-mir-4253,Gene_2558
hsa-mir-4254,Gene_2559
hsa-mir-4255,Gene_2560
hsa-mir-4256,Gene_2561
hsa-mir-4257,Gene_2562
hsa-mir-4258,Gene_2563
hsa-mir-4259,Gene_2564
hsa-mir-4260,Gene_2565
hsa-mir-4261,Gene_2566
hsa-mir-4262,Gene_2567
hsa-mir-4263,Gene_2568
hsa-mir-4264,Gene_2569
hsa-mir-4265,Gene_2570
hsa-mir-4266,Gene_2571
hsa-mir-4267,Gene_2572
hsa-mir-4268,Gene_2573
hsa-mir-4269,Gene_2574
hsa-mir-4270,Gene_2575
hsa-mir-4271,Gene_2576
hsa-mir-4272,Gene_2577
hsa-mir-4273,Gene_2578
hsa-mir-4274,Gene_2579
hsa-mir-4275,Gene_2580
hsa-mir-4276,Gene_2581
hsa-mir-4277,Gene_2582
hsa-mir-4278,Gene_2583
hsa-mir-4279,Gene_2584
hsa-mir-4280,Gene_2585
hsa-mir-4281,Gene_2586
hsa-mir-4282,Gene_2587
hsa-mir-4283-1,Gene_2588
hsa-mir-4283-2,Gene_2589
hsa-mir-4284,Gene_2590
hsa-mir-4285,Gene_2591
hsa-mir-4286,Gene_2592
hsa-mir-4287,Gene_2593
hsa-mir-4288,Gene_2594
hsa-mir-4289,Gene_2595
hsa-mir-429,Gene_2596
hsa-mir-4290,Gene_2597
hsa-mir-4291,Gene_2598
hsa-mir-4292,Gene_2599
hsa-mir-4293,Gene_2600
hsa-mir-4294,Gene_2601
hsa-mir-4295,Gene_2602
hsa-mir-4296,Gene_2603
hsa-mir-4297,Gene_2604
hsa-mir-4298,Gene_2605
hsa-mir-4299,Gene_2606
hsa-mir-4300,Gene_2607
hsa-mir-4301,Gene_2608
hsa-mir-4302,Gene_2609
hsa-mir-4303,Gene_2610
hsa-mir-4304,Gene_2611
hsa-mir-4305,Gene_2612
hsa-mir-4306,Gene_2613
hsa-mir-4307,Gene_2614
hsa-mir-4308,Gene_2615
hsa-mir-4309,Gene_2616
hsa-mir-431,Gene_2617
hsa-mir-4310,Gene_2618
hsa-mir-4311,Gene_2619
hsa-mir-4312,Gene_2620
hsa-mir-4313,Gene_2621
hsa-mir-4314,Gene_2622
hsa-mir-4315-1,Gene_2623
hsa-mir-4315-2,Gene_2624
hsa-mir-4316,Gene_2625
hsa-mir-4317,Gene_2626
hsa-mir-4318,Gene_2627
hsa-mir-4319,Gene_2628
hsa-mir-432,Gene_2629
hsa-mir-4320,Gene_2630
hsa-mir-4321,Gene_2631
hsa-mir-4322,Gene_2632
hsa-mir-4323,Gene_2633
hsa-mir-4324,Gene_2634
hsa-mir-4325,Gene_2635
hsa-mir-4326,Gene_2636
hsa-mir-4327,Gene_2637
hsa-mir-4328,Gene_2638
hsa-mir-4329,Gene_2639
hsa-mir-433,Gene_2640
hsa-mir-4330,Gene_2641
hsa-mir-4417,Gene_2642
hsa-mir-4418,Gene_2643
hsa-mir-4419a,Gene_2644
hsa-mir-4419b,Gene_2645
hsa-mir-4420,Gene_2646
hsa-mir-4421,Gene_2647
hsa-mir-4422,Gene_2648
hsa-mir-4423,Gene_2649
hsa-mir-4424,Gene_2650
hsa-mir-4425,Gene_2651
hsa-mir-4426,Gene_2652
hsa-mir-4427,Gene_2653
hsa-mir-4428,Gene_2654
hsa-mir-4429,Gene_2655
hsa-mir-4430,Gene_2656
hsa-mir-4431,Gene_2657
hsa-mir-4432,Gene_2658
hsa-mir-4433a,Gene_2659
hsa-mir-4433b,Gene_2660
hsa-mir-4434,Gene_2661
hsa-mir-4435-1,Gene_2662
hsa-mir-4435-2,Gene_2663
hsa-mir-4436a,Gene_2664
hsa-mir-4436b-1,Gene_2665
hsa-mir-4436b-2,Gene_2666
hsa-mir-4437,Gene_2667
hsa-mir-4438,Gene_2668
hsa-mir-4439,Gene_2669
hsa-mir-4440,Gene_2670
hsa-mir-4441,Gene_2671
hsa-mir-4442,Gene_2672
hsa-mir-4443,Gene_2673
hsa-mir-4444-1,Gene_2674
hsa-mir-4444-2,Gene_2675
hsa-mir-4445,Gene_2676
hsa-mir-4446,Gene_2677
hsa-mir-4447,Gene_2678
hsa-mir-4448,Gene_2679
hsa-mir-4449,Gene_2680
hsa-mir-4450,Gene_2681
hsa-mir-4451,Gene_2682
hsa-mir-4452,Gene_2683
hsa-mir-4453,Gene_2684
hsa-mir-4454,Gene_2685
hsa-mir-4455,Gene_2686
hsa-mir-4456,Gene_2687
hsa-mir-4457,Gene_2688
hsa-mir-4458,Gene_2689
hsa-mir-4459,Gene_2690
hsa-mir-4460,Gene_2691
hsa-mir-4461,Gene_2692
hsa-mir-4462,Gene_2693
hsa-mir-4463,Gene_2694
hsa-mir-4464,Gene_2695
hsa-mir-4465,Gene_2696
hsa-mir-4466,Gene_2697
hsa-mir-4467,Gene_2698
hsa-mir-4468,Gene_2699
hsa-mir-4469,Gene_2700
hsa-mir-4470,Gene_2701
hsa-mir-4471,Gene_2702
hsa-mir-4472-1,Gene_2703
hsa-mir-4472-2,Gene_2704
hsa-mir-4473,Gene_2705
hsa-mir-4474,Gene_2706
hsa-mir-4475,Gene_2707
hsa-mir-4476,Gene_2708
hsa-mir-4477a,Gene_2709
hsa-mir-4477b,Gene_2710
hsa-mir-4478,Gene_2711
hsa-mir-4479,Gene_2712
hsa-mir-448,Gene_2713
hsa-mir-4480,Gene_2714
hsa-mir-4481,Gene_2715
hsa-mir-4482,Gene_2716
hsa-mir-4483,Gene_2717
hsa-mir-4484,Gene_2718
hsa-mir-4485,Gene_2719
hsa-mir-4486,Gene_2720
hsa-mir-4487,Gene_2721
hsa-mir-4488,Gene_2722
hsa-mir-4489,Gene_2723
hsa-mir-4490,Gene_2724
hsa-mir-4491,Gene_2725
hsa-mir-4492,Gene_2726
hsa-mir-4493,Gene_2727
hsa-mir-4494,Gene_2728
hsa-mir-4495,Gene_2729
hsa-mir-4496,Gene_2730
hsa-mir-4497,Gene_2731
hsa-mir-4498,Gene_2732
hsa-mir-4499,Gene_2733
hsa-mir-449a,Gene_2734
hsa-mir-449b,Gene_2735
hsa-mir-449c,Gene_2736
hsa-mir-4500,Gene_2737
hsa-mir-4501,Gene_2738
hsa-mir-4502,Gene_2739
hsa-mir-4503,Gene_2740
hsa-mir-4504,Gene_2741
hsa-mir-4505,Gene_2742
hsa-mir-4506,Gene_2743
hsa-mir-4507,Gene_2744
hsa-mir-4508,Gene_2745
hsa-mir-4509-1,Gene_2746
hsa-mir-4509-2,Gene_2747
hsa-mir-4509-3,Gene_2748
hsa-mir-450a-1,Gene_2749
hsa-mir-450a-2,Gene_2750
hsa-mir-450b,Gene_2751
hsa-mir-4510,Gene_2752
hsa-mir-4511,Gene_2753
hsa-mir-4512,Gene_2754
hsa-mir-4513,Gene_2755
hsa-mir-4514,Gene_2756
hsa-mir-4515,Gene_2757
hsa-mir-4516,Gene_2758
hsa-mir-4517,Gene_2759
hsa-mir-4518,Gene_2760
hsa-mir-4519,Gene_2761
hsa-mir-451a,Gene_2762
hsa-mir-451b,Gene_2763
hsa-mir-452,Gene_2764
hsa-mir-4520-1,Gene_2765
hsa-mir-4520-2,Gene_2766
hsa-mir-4521,Gene_2767
hsa-mir-4522,Gene_2768
hsa-mir-4523,Gene_2769
hsa-mir-4524a,Gene_2770
hsa-mir-4524b,Gene_2771
hsa-mir-4525,Gene_2772
hsa-mir-4526,Gene_2773
hsa-mir-4527,Gene_2774
hsa-mir-4528,Gene_2775
hsa-mir-4529,Gene_2776
hsa-mir-4530,Gene_2777
hsa-mir-4531,Gene_2778
hsa-mir-4532,Gene_2779
hsa-mir-4533,Gene_2780
hsa-mir-4534,Gene_2781
hsa-mir-4535,Gene_2782
hsa-mir-4536-1,Gene_2783
hsa-mir-4536-2,Gene_2784
hsa-mir-4537,Gene_2785
hsa-mir-4538,Gene_2786
hsa-mir-4539,Gene_2787
hsa-mir-454,Gene_2788
hsa-mir-4540,Gene_2789
hsa-mir-455,Gene_2790
hsa-mir-4632,Gene_2791
hsa-mir-4633,Gene_2792
hsa-mir-4634,Gene_2793
hsa-mir-4635,Gene_2794
hsa-mir-4636,Gene_2795
hsa-mir-4637,Gene_2796
hsa-mir-4638,Gene_2797
hsa-mir-4639,Gene_2798
hsa-mir-4640,Gene_2799
hsa-mir-4641,Gene_2800
hsa-mir-4642,Gene_2801
hsa-mir-4643,Gene_2802
hsa-mir-4644,Gene_2803
hsa-mir-4645,Gene_2804
hsa-mir-4646,Gene_2805
hsa-mir-4647,Gene_2806
hsa-mir-4648,Gene_2807
hsa-mir-4649,Gene_2808
hsa-mir-4650-1,Gene_2809
hsa-mir-4650-2,Gene_2810
hsa-mir-4651,Gene_2811
hsa-mir-4652,Gene_2812
hsa-mir-4653,Gene_2813
hsa-mir-4654,Gene_2814
hsa-mir-4655,Gene_2815
hsa-mir-4656,Gene_2816
hsa-mir-4657,Gene_2817
hsa-mir-4658,Gene_2818
hsa-mir-4659a,Gene_2819
hsa-mir-4659b,Gene_2820
hsa-mir-466,Gene_2821
hsa-mir-4660,Gene_2822
hsa-mir-4661,Gene_2823
hsa-mir-4662a,Gene_2824
hsa-mir-4662b,Gene_2825
hsa-mir-4663,Gene_2826
hsa-mir-4664,Gene_2827
hsa-mir-4665,Gene_2828
hsa-mir-4666a,Gene_2829
hsa-mir-4666b,Gene_2830
hsa-mir-4667,Gene_2831
hsa-mir-4668,Gene_2832
hsa-mir-4669,Gene_2833
hsa-mir-4670,Gene_2834
hsa-mir-4671,Gene_2835
hsa-mir-4672,Gene_2836
hsa-mir-4673,Gene_2837
hsa-mir-4674,Gene_2838
hsa-mir-4675,Gene_2839
hsa-mir-4676,Gene_2840
hsa-mir-4677,Gene_2841
hsa-mir-4678,Gene_2842
hsa-mir-4679-1,Gene_2843
hsa-mir-4679-2,Gene_2844
hsa-mir-4680,Gene_2845
hsa-mir-4681,Gene_2846
hsa-mir-4682,Gene_2847
hsa-mir-4683,Gene_2848
hsa-mir-4684,Gene_2849
hsa-mir-4685,Gene_2850
hsa-mir-4686,Gene_2851
hsa-mir-4687,Gene_2852
hsa-mir-4688,Gene_2853
hsa-mir-4689,Gene_2854
hsa-mir-4690,Gene_2855
hsa-mir-4691,Gene_2856
hsa-mir-4692,Gene_2857
hsa-mir-4693,Gene_2858
hsa-mir-4694,Gene_2859
hsa-mir-4695,Gene_2860
hsa-mir-4696,Gene_2861
hsa-mir-4697,Gene_2862
hsa-mir-4698,Gene_2863
hsa-mir-4699,Gene_2864
hsa-mir-4700,Gene_2865
hsa-mir-4701,Gene_2866
hsa-mir-4703,Gene_2867
hsa-mir-4704,Gene_2868
hsa-mir-4705,Gene_2869
hsa-mir-4706,Gene_2870
hsa-mir-4707,Gene_2871
hsa-mir-4708,Gene_2872
hsa-mir-4709,Gene_2873
hsa-mir-4710,Gene_2874
hsa-mir-4711,Gene_2875
hsa-mir-4712,Gene_2876
hsa-mir-4713,Gene_2877
hsa-mir-4714,Gene_2878
hsa-mir-4715,Gene_2879
hsa-mir-4716,Gene_2880
hsa-mir-4717,Gene_2881
hsa-mir-4718,Gene_2882
hsa-mir-4719,Gene_2883
hsa-mir-4720,Gene_2884
hsa-mir-4721,Gene_2885
hsa-mir-4722,Gene_2886
hsa-mir-4723,Gene_2887
hsa-mir-4724,Gene_2888
hsa-mir-4725,Gene_2889
hsa-mir-4726,Gene_2890
hsa-mir-4727,Gene_2891
hsa-mir-4728,Gene_2892
hsa-mir-4729,Gene_2893
hsa-mir-4730,Gene_2894
hsa-mir-4731,Gene_2895
hsa-mir-4732,Gene_2896
hsa-mir-4733,Gene_2897
hsa-mir-4734,Gene_2898
hsa-mir-4735,Gene_2899
hsa-mir-4736,Gene_2900
hsa-mir-4737,Gene_2901
hsa-mir-4738,Gene_2902
hsa-mir-4739,Gene_2903
hsa-mir-4740,Gene_2904
hsa-mir-4741,Gene_2905
hsa-mir-4742,Gene_2906
hsa-mir-4743,Gene_2907
hsa-mir-4744,Gene_2908
hsa-mir-4745,Gene_2909
hsa-mir-4746,Gene_2910
hsa-mir-4747,Gene_2911
hsa-mir-4748,Gene_2912
hsa-mir-4749,Gene_2913
hsa-mir-4750,Gene_2914
hsa-mir-4751,Gene_2915
hsa-mir-4752,Gene_2916
hsa-mir-4753,Gene_2917
hsa-mir-4754,Gene_2918
hsa-mir-4755,Gene_2919
hsa-mir-4756,Gene_2920
hsa-mir-4757,Gene_2921
hsa-mir-4758,Gene_2922
hsa-mir-4759,Gene_2923
hsa-mir-4760,Gene_2924
hsa-mir-4761,Gene_2925
hsa-mir-4762,Gene_2926
hsa-mir-4763,Gene_2927
hsa-mir-4764,Gene_2928
hsa-mir-4765,Gene_2929
hsa-mir-4766,Gene_2930
hsa-mir-4767,Gene_2931
hsa-mir-4768,Gene_2932
hsa-mir-4769,Gene_2933
hsa-mir-4770,Gene_2934
hsa-mir-4771-1,Gene_2935
hsa-mir-4771-2,Gene_2936
hsa-mir-4772,Gene_2937
hsa-mir-4773-1,Gene_2938
hsa-mir-4773-2,Gene_2939
hsa-mir-4774,Gene_2940
hsa-mir-4775,Gene_2941
hsa-mir-4776-1,Gene_2942
hsa-mir-4776-2,Gene_2943
hsa-mir-4777,Gene_2944
hsa-mir-4778,Gene_2945
hsa-mir-4779,Gene_2946
hsa-mir-4780,Gene_2947
hsa-mir-4781,Gene_2948
hsa-mir-4782,Gene_2949
hsa-mir-4783,Gene_2950
hsa-mir-4784,Gene_2951
hsa-mir-4785,Gene_2952
hsa-mir-4786,Gene_2953
hsa-mir-4787,Gene_2954
hsa-mir-4788,Gene_2955
hsa-mir-4789,Gene_2956
hsa-mir-4790,Gene_2957
hsa-mir-4791,Gene_2958
hsa-mir-4792,Gene_2959
hsa-mir-4793,Gene_2960
hsa-mir-4794,Gene_2961
hsa-mir-4795,Gene_2962
hsa-mir-4796,Gene_2963
hsa-mir-4797,Gene_2964
hsa-mir-4798,Gene_2965
hsa-mir-4799,Gene_2966
hsa-mir-4800,Gene_2967
