Gene_1,"['hsa-let-7a-1', 'hsa-mir-31']"
Gene_759,"['hsa-mir-433', 'hsa-mir-646', 'hsa-mir-5006']"
Gene_760,"['hsa-mir-4330', 'hsa-mir-645', 'hsa-mir-5007']"
Gene_761,"['hsa-mir-4417', 'hsa-mir-644a', 'hsa-mir-5008']"
Gene_762,"['hsa-mir-4418', 'hsa-mir-643', 'hsa-mir-5009']"
Gene_763,"['hsa-mir-4419a', 'hsa-mir-642b', 'hsa-mir-500a']"
Gene_764,"['hsa-mir-4419b', 'hsa-mir-642a', 'hsa-mir-500b']"
Gene_765,"['hsa-mir-4420', 'hsa-mir-641', 'hsa-mir-501']"
Gene_766,"['hsa-mir-4421', 'hsa-mir-640', 'hsa-mir-5010']"
Gene_767,"['hsa-mir-4422', 'hsa-mir-639', 'hsa-mir-5011']"
Gene_768,"['hsa-mir-4423', 'hsa-mir-638', 'hsa-mir-502']"
Gene_769,"['hsa-mir-4424', 'hsa-mir-637', 'hsa-mir-503']"
Gene_770,"['hsa-mir-4425', 'hsa-mir-636', 'hsa-mir-504']"
Gene_771,"['hsa-mir-4426', 'hsa-mir-635', 'hsa-mir-5047']"
Gene_772,"['hsa-mir-4427', 'hsa-mir-634', 'hsa-mir-505']"
Gene_773,"['hsa-mir-4428', 'hsa-mir-633', 'hsa-mir-506']"
Gene_774,"['hsa-mir-4429', 'hsa-mir-632', 'hsa-mir-507']"
Gene_775,"['hsa-mir-4430', 'hsa-mir-631', 'hsa-mir-508']"
Gene_776,"['hsa-mir-4431', 'hsa-mir-630', 'hsa-mir-5087']"
Gene_777,"['hsa-mir-4432', 'hsa-mir-629', 'hsa-mir-5088']"
Gene_778,"['hsa-mir-4433a', 'hsa-mir-628', 'hsa-mir-5089']"
Gene_779,"['hsa-mir-4433b', 'hsa-mir-627', 'hsa-mir-509-1']"
Gene_780,"['hsa-mir-4434', 'hsa-mir-626', 'hsa-mir-509-2']"
Gene_781,"['hsa-mir-4435-1', 'hsa-mir-625', 'hsa-mir-509-3']"
Gene_782,"['hsa-mir-4435-2', 'hsa-mir-624', 'hsa-mir-5090']"
Gene_783,"['hsa-mir-4436a', 'hsa-mir-623', 'hsa-mir-5091']"
Gene_784,"['hsa-mir-4436b-1', 'hsa-mir-622', 'hsa-mir-5092']"
Gene_785,"['hsa-mir-4436b-2', 'hsa-mir-621', 'hsa-mir-5093']"
Gene_786,"['hsa-mir-4437', 'hsa-mir-620', 'hsa-mir-5094']"
Gene_787,"['hsa-mir-4438', 'hsa-mir-619', 'hsa-mir-5095']"
Gene_788,"['hsa-mir-4439', 'hsa-mir-618', 'hsa-mir-5096']"
Gene_789,"['hsa-mir-4440', 'hsa-mir-617', 'hsa-mir-510']"
Gene_790,"['hsa-mir-4441', 'hsa-mir-6165', 'hsa-mir-5100']"
Gene_791,"['hsa-mir-4442', 'hsa-mir-616', 'hsa-mir-511']"
Gene_792,"['hsa-mir-4443', 'hsa-mir-615', 'hsa-mir-512-1']"
Gene_793,"['hsa-mir-4444-1', 'hsa-mir-614', 'hsa-mir-512-2']"
Gene_794,"['hsa-mir-4444-2', 'hsa-mir-6134', 'hsa-mir-513a-1']"
Gene_795,"['hsa-mir-4445', 'hsa-mir-6133', 'hsa-mir-513a-2']"
Gene_796,"['hsa-mir-4446', 'hsa-mir-6132', 'hsa-mir-513b']"
Gene_797,"['hsa-mir-4447', 'hsa-mir-6131', 'hsa-mir-513c']"
Gene_798,"['hsa-mir-4448', 'hsa-mir-6130', 'hsa-mir-514a-1']"
Gene_799,"['hsa-mir-4449', 'hsa-mir-613', 'hsa-mir-514a-2']"
Gene_800,"['hsa-mir-4450', 'hsa-mir-6129', 'hsa-mir-514a-3']"
Gene_801,"['hsa-mir-4451', 'hsa-mir-6128', 'hsa-mir-514b']"
Gene_802,"['hsa-mir-4452', 'hsa-mir-6127', 'hsa-mir-515-1']"
Gene_803,"['hsa-mir-4453', 'hsa-mir-6126', 'hsa-mir-515-2']"
Gene_804,"['hsa-mir-4454', 'hsa-mir-6125', 'hsa-mir-516a-1']"
Gene_805,"['hsa-mir-4455', 'hsa-mir-6124', 'hsa-mir-516a-2']"
Gene_806,"['hsa-mir-4456', 'hsa-mir-612', 'hsa-mir-516b-1']"
Gene_807,"['hsa-mir-4457', 'hsa-mir-611', 'hsa-mir-516b-2']"
Gene_808,"['hsa-mir-4458', 'hsa-mir-610', 'hsa-mir-517a']"
Gene_809,"['hsa-mir-4459', 'hsa-mir-6090', 'hsa-mir-517b']"
Gene_810,"['hsa-mir-4460', 'hsa-mir-609', 'hsa-mir-517c']"
Gene_811,"['hsa-mir-4461', 'hsa-mir-6089-2', 'hsa-mir-5186']"
Gene_812,"['hsa-mir-4462', 'hsa-mir-6089-1', 'hsa-mir-5187']"
Gene_813,"['hsa-mir-4463', 'hsa-mir-6088', 'hsa-mir-5188']"
Gene_814,"['hsa-mir-4464', 'hsa-mir-6087', 'hsa-mir-5189']"
Gene_815,"['hsa-mir-4465', 'hsa-mir-6086', 'hsa-mir-518a-1']"
Gene_816,"['hsa-mir-4466', 'hsa-mir-6085', 'hsa-mir-518a-2']"
Gene_817,"['hsa-mir-4467', 'hsa-mir-6084', 'hsa-mir-518b']"
Gene_818,"['hsa-mir-4468', 'hsa-mir-6083', 'hsa-mir-518c']"
Gene_819,"['hsa-mir-4469', 'hsa-mir-6082', 'hsa-mir-518d']"
Gene_820,"['hsa-mir-4470', 'hsa-mir-6081', 'hsa-mir-518e']"
Gene_821,"['hsa-mir-4471', 'hsa-mir-6080', 'hsa-mir-518f']"
Gene_822,"['hsa-mir-4472-1', 'hsa-mir-608', 'hsa-mir-5190']"
Gene_823,"['hsa-mir-4472-2', 'hsa-mir-6079', 'hsa-mir-5191']"
Gene_824,"['hsa-mir-4473', 'hsa-mir-6078', 'hsa-mir-5192']"
Gene_825,"['hsa-mir-4474', 'hsa-mir-6077', 'hsa-mir-5193']"
Gene_826,"['hsa-mir-4475', 'hsa-mir-6076', 'hsa-mir-5194']"
Gene_827,"['hsa-mir-4476', 'hsa-mir-6075', 'hsa-mir-5195']"
Gene_828,"['hsa-mir-4477a', 'hsa-mir-6074', 'hsa-mir-5196']"
Gene_829,"['hsa-mir-4477b', 'hsa-mir-6073', 'hsa-mir-5197']"
Gene_830,"['hsa-mir-4478', 'hsa-mir-6072', 'hsa-mir-519a-1']"
Gene_831,"['hsa-mir-4479', 'hsa-mir-6071', 'hsa-mir-519a-2']"
Gene_832,"['hsa-mir-448', 'hsa-mir-6070', 'hsa-mir-519b']"
Gene_833,"['hsa-mir-4480', 'hsa-mir-607', 'hsa-mir-519c']"
Gene_834,"['hsa-mir-4481', 'hsa-mir-6069', 'hsa-mir-519d']"
Gene_835,"['hsa-mir-4482', 'hsa-mir-6068', 'hsa-mir-519e']"
Gene_836,"['hsa-mir-4483', 'hsa-mir-606', 'hsa-mir-520a']"
Gene_837,"['hsa-mir-4484', 'hsa-mir-605', 'hsa-mir-520b']"
Gene_838,"['hsa-mir-4485', 'hsa-mir-604', 'hsa-mir-520c']"
Gene_839,"['hsa-mir-4486', 'hsa-mir-603', 'hsa-mir-520d']"
Gene_840,"['hsa-mir-4487', 'hsa-mir-602', 'hsa-mir-520e']"
Gene_841,"['hsa-mir-4488', 'hsa-mir-601', 'hsa-mir-520f']"
Gene_842,"['hsa-mir-4489', 'hsa-mir-600', 'hsa-mir-520g']"
Gene_843,"['hsa-mir-4490', 'hsa-mir-599', 'hsa-mir-520h']"
Gene_844,"['hsa-mir-4491', 'hsa-mir-598', 'hsa-mir-521-1']"
Gene_845,"['hsa-mir-4492', 'hsa-mir-597', 'hsa-mir-521-2']"
Gene_846,"['hsa-mir-4493', 'hsa-mir-596', 'hsa-mir-522']"
Gene_847,"['hsa-mir-4494', 'hsa-mir-595', 'hsa-mir-523']"
Gene_848,"['hsa-mir-4495', 'hsa-mir-593', 'hsa-mir-524']"
Gene_849,"['hsa-mir-4496', 'hsa-mir-592', 'hsa-mir-525']"
Gene_850,"['hsa-mir-4497', 'hsa-mir-591', 'hsa-mir-526a-1']"
Gene_851,"['hsa-mir-4498', 'hsa-mir-590', 'hsa-mir-526a-2']"
Gene_852,"['hsa-mir-4499', 'hsa-mir-589', 'hsa-mir-526b']"
Gene_853,"['hsa-mir-449a', 'hsa-mir-588', 'hsa-mir-527']"
Gene_854,"['hsa-mir-449b', 'hsa-mir-587', 'hsa-mir-532']"
Gene_855,"['hsa-mir-449c', 'hsa-mir-586', 'hsa-mir-539']"
Gene_856,"['hsa-mir-4500', 'hsa-mir-585', 'hsa-mir-541']"
Gene_857,"['hsa-mir-4501', 'hsa-mir-584', 'hsa-mir-542']"
Gene_858,"['hsa-mir-4502', 'hsa-mir-583', 'hsa-mir-543']"
Gene_859,"['hsa-mir-4503', 'hsa-mir-582', 'hsa-mir-544a']"
Gene_860,"['hsa-mir-4504', 'hsa-mir-581', 'hsa-mir-544b']"
Gene_861,"['hsa-mir-4505', 'hsa-mir-580', 'hsa-mir-545']"
Gene_862,"['hsa-mir-4506', 'hsa-mir-579', 'hsa-mir-548a-1']"
Gene_863,"['hsa-mir-4507', 'hsa-mir-5787', 'hsa-mir-548a-2']"
Gene_864,"['hsa-mir-4508', 'hsa-mir-578', 'hsa-mir-548a-3']"
Gene_865,"['hsa-mir-4509-1', 'hsa-mir-577', 'hsa-mir-548aa-1']"
Gene_866,"['hsa-mir-4509-2', 'hsa-mir-576', 'hsa-mir-548aa-2']"
Gene_867,"['hsa-mir-4509-3', 'hsa-mir-575', 'hsa-mir-548ab']"
Gene_868,"['hsa-mir-450a-1', 'hsa-mir-574', 'hsa-mir-548ac']"
Gene_869,"['hsa-mir-450a-2', 'hsa-mir-5739', 'hsa-mir-548ad']"
Gene_870,"['hsa-mir-450b', 'hsa-mir-573', 'hsa-mir-548ae-1']"
Gene_871,"['hsa-mir-4510', 'hsa-mir-572', 'hsa-mir-548ae-2']"
Gene_872,"['hsa-mir-4511', 'hsa-mir-571', 'hsa-mir-548ag-1']"
Gene_873,"['hsa-mir-4512', 'hsa-mir-5708', 'hsa-mir-548ag-2']"
Gene_874,"['hsa-mir-4513', 'hsa-mir-5707', 'hsa-mir-548ah']"
Gene_875,"['hsa-mir-4514', 'hsa-mir-5706', 'hsa-mir-548ai']"
Gene_876,"['hsa-mir-4515', 'hsa-mir-5705', 'hsa-mir-548aj-1']"
Gene_877,"['hsa-mir-4516', 'hsa-mir-5704', 'hsa-mir-548aj-2']"
Gene_878,"['hsa-mir-4517', 'hsa-mir-5703', 'hsa-mir-548ak']"
Gene_879,"['hsa-mir-4518', 'hsa-mir-5702', 'hsa-mir-548al']"
Gene_880,"['hsa-mir-4519', 'hsa-mir-5701-3', 'hsa-mir-548am']"
Gene_881,"['hsa-mir-451a', 'hsa-mir-5701-2', 'hsa-mir-548an']"
Gene_882,"['hsa-mir-451b', 'hsa-mir-5701-1', 'hsa-mir-548ao']"
Gene_883,"['hsa-mir-452', 'hsa-mir-5700', 'hsa-mir-548ap']"
Gene_884,"['hsa-mir-4520-1', 'hsa-mir-570', 'hsa-mir-548aq']"
Gene_885,"['hsa-mir-4520-2', 'hsa-mir-5699', 'hsa-mir-548ar']"
Gene_886,"['hsa-mir-4521', 'hsa-mir-5698', 'hsa-mir-548as']"
Gene_887,"['hsa-mir-4522', 'hsa-mir-5697', 'hsa-mir-548at']"
Gene_888,"['hsa-mir-4523', 'hsa-mir-5696', 'hsa-mir-548au']"
Gene_889,"['hsa-mir-4524a', 'hsa-mir-5695', 'hsa-mir-548av']"
Gene_890,"['hsa-mir-4524b', 'hsa-mir-5694', 'hsa-mir-548aw']"
Gene_891,"['hsa-mir-4525', 'hsa-mir-5693', 'hsa-mir-548ax']"
Gene_892,"['hsa-mir-4526', 'hsa-mir-5692c-2', 'hsa-mir-548ay']"
Gene_893,"['hsa-mir-4527', 'hsa-mir-5692c-1', 'hsa-mir-548az']"
Gene_894,"['hsa-mir-4528', 'hsa-mir-5692b', 'hsa-mir-548b']"
Gene_895,"['hsa-mir-4529', 'hsa-mir-5692a-2', 'hsa-mir-548ba']"
Gene_896,"['hsa-mir-4530', 'hsa-mir-5692a-1', 'hsa-mir-548bb']"
Gene_897,"['hsa-mir-4531', 'hsa-mir-5691', 'hsa-mir-548c']"
Gene_898,"['hsa-mir-4532', 'hsa-mir-5690', 'hsa-mir-548d-1']"
Gene_899,"['hsa-mir-4533', 'hsa-mir-569', 'hsa-mir-548d-2']"
Gene_900,"['hsa-mir-4534', 'hsa-mir-5689', 'hsa-mir-548e']"
Gene_901,"['hsa-mir-4535', 'hsa-mir-5688', 'hsa-mir-548f-1']"
Gene_902,"['hsa-mir-4536-1', 'hsa-mir-5687', 'hsa-mir-548f-2']"
Gene_903,"['hsa-mir-4536-2', 'hsa-mir-5685', 'hsa-mir-548f-3']"
Gene_904,"['hsa-mir-4537', 'hsa-mir-5684', 'hsa-mir-548f-4']"
Gene_905,"['hsa-mir-4538', 'hsa-mir-5683', 'hsa-mir-548f-5']"
Gene_906,"['hsa-mir-4539', 'hsa-mir-5682', 'hsa-mir-548g']"
Gene_907,"['hsa-mir-454', 'hsa-mir-5681b', 'hsa-mir-548h-1']"
Gene_908,"['hsa-mir-4540', 'hsa-mir-5681a', 'hsa-mir-548h-2']"
Gene_909,"['hsa-mir-455', 'hsa-mir-5680', 'hsa-mir-548h-3']"
Gene_910,"['hsa-mir-4632', 'hsa-mir-568', 'hsa-mir-548h-4']"
Gene_911,"['hsa-mir-4633', 'hsa-mir-567', 'hsa-mir-548h-5']"
Gene_912,"['hsa-mir-4634', 'hsa-mir-566', 'hsa-mir-548i-1']"
Gene_913,"['hsa-mir-4635', 'hsa-mir-564', 'hsa-mir-548i-2']"
Gene_914,"['hsa-mir-4636', 'hsa-mir-563', 'hsa-mir-548i-3']"
Gene_915,"['hsa-mir-4637', 'hsa-mir-562', 'hsa-mir-548i-4']"
Gene_916,"['hsa-mir-4638', 'hsa-mir-561', 'hsa-mir-548j']"
Gene_917,"['hsa-mir-4639', 'hsa-mir-5591', 'hsa-mir-548k']"
Gene_918,"['hsa-mir-4640', 'hsa-mir-5590', 'hsa-mir-548l']"
Gene_919,"['hsa-mir-4641', 'hsa-mir-559', 'hsa-mir-548m']"
Gene_920,"['hsa-mir-4642', 'hsa-mir-5589', 'hsa-mir-548n']"
Gene_921,"['hsa-mir-4643', 'hsa-mir-5588', 'hsa-mir-548o']"
Gene_922,"['hsa-mir-4644', 'hsa-mir-5587', 'hsa-mir-548o-2']"
Gene_923,"['hsa-mir-4645', 'hsa-mir-5586', 'hsa-mir-548p']"
Gene_924,"['hsa-mir-4646', 'hsa-mir-5585', 'hsa-mir-548q']"
Gene_925,"['hsa-mir-4647', 'hsa-mir-5584', 'hsa-mir-548s']"
Gene_926,"['hsa-mir-4648', 'hsa-mir-5583-2', 'hsa-mir-548t']"
Gene_927,"['hsa-mir-4649', 'hsa-mir-5583-1', 'hsa-mir-548u']"
Gene_928,"['hsa-mir-4650-1', 'hsa-mir-5582', 'hsa-mir-548v']"
Gene_929,"['hsa-mir-4650-2', 'hsa-mir-5581', 'hsa-mir-548w']"
Gene_930,"['hsa-mir-4651', 'hsa-mir-5580', 'hsa-mir-548x']"
Gene_931,"['hsa-mir-4652', 'hsa-mir-558', 'hsa-mir-548x-2']"
Gene_932,"['hsa-mir-4653', 'hsa-mir-5579', 'hsa-mir-548y']"
Gene_933,"['hsa-mir-4654', 'hsa-mir-5572', 'hsa-mir-548z']"
Gene_934,"['hsa-mir-4655', 'hsa-mir-5571', 'hsa-mir-549a']"
Gene_935,"['hsa-mir-4656', 'hsa-mir-557', 'hsa-mir-550a-1']"
Gene_936,"['hsa-mir-4657', 'hsa-mir-556', 'hsa-mir-550a-2']"
Gene_937,"['hsa-mir-4658', 'hsa-mir-555', 'hsa-mir-550a-3']"
Gene_938,"['hsa-mir-4659a', 'hsa-mir-554', 'hsa-mir-550b-1']"
Gene_939,"['hsa-mir-4659b', 'hsa-mir-553', 'hsa-mir-550b-2']"
Gene_940,"['hsa-mir-466', 'hsa-mir-552', 'hsa-mir-551a']"
Gene_941,"['hsa-mir-4660', 'hsa-mir-551b', 'hsa-mir-551b']"
Gene_942,"['hsa-mir-4661', 'hsa-mir-551a', 'hsa-mir-552']"
Gene_943,"['hsa-mir-4662a', 'hsa-mir-550b-2', 'hsa-mir-553']"
Gene_944,"['hsa-mir-4662b', 'hsa-mir-550b-1', 'hsa-mir-554']"
Gene_945,"['hsa-mir-4663', 'hsa-mir-550a-3', 'hsa-mir-555']"
Gene_946,"['hsa-mir-4664', 'hsa-mir-550a-2', 'hsa-mir-556']"
Gene_947,"['hsa-mir-4665', 'hsa-mir-550a-1', 'hsa-mir-557']"
Gene_948,"['hsa-mir-4666a', 'hsa-mir-549a', 'hsa-mir-5571']"
Gene_949,"['hsa-mir-4666b', 'hsa-mir-548z', 'hsa-mir-5572']"
Gene_950,"['hsa-mir-4667', 'hsa-mir-548y', 'hsa-mir-5579']"
Gene_951,"['hsa-mir-4668', 'hsa-mir-548x-2', 'hsa-mir-558']"
Gene_952,"['hsa-mir-4669', 'hsa-mir-548x', 'hsa-mir-5580']"
Gene_953,"['hsa-mir-4670', 'hsa-mir-548w', 'hsa-mir-5581']"
Gene_954,"['hsa-mir-4671', 'hsa-mir-548v', 'hsa-mir-5582']"
Gene_955,"['hsa-mir-4672', 'hsa-mir-548u', 'hsa-mir-5583-1']"
Gene_956,"['hsa-mir-4673', 'hsa-mir-548t', 'hsa-mir-5583-2']"
Gene_957,"['hsa-mir-4674', 'hsa-mir-548s', 'hsa-mir-5584']"
Gene_958,"['hsa-mir-4675', 'hsa-mir-548q', 'hsa-mir-5585']"
Gene_959,"['hsa-mir-4676', 'hsa-mir-548p', 'hsa-mir-5586']"
Gene_960,"['hsa-mir-4677', 'hsa-mir-548o-2', 'hsa-mir-5587']"
Gene_961,"['hsa-mir-4678', 'hsa-mir-548o', 'hsa-mir-5588']"
Gene_962,"['hsa-mir-4679-1', 'hsa-mir-548n', 'hsa-mir-5589']"
Gene_963,"['hsa-mir-4679-2', 'hsa-mir-548m', 'hsa-mir-559']"
Gene_964,"['hsa-mir-4680', 'hsa-mir-548l', 'hsa-mir-5590']"
Gene_965,"['hsa-mir-4681', 'hsa-mir-548k', 'hsa-mir-5591']"
Gene_966,"['hsa-mir-4682', 'hsa-mir-548j', 'hsa-mir-561']"
Gene_967,"['hsa-mir-4683', 'hsa-mir-548i-4', 'hsa-mir-562']"
Gene_968,"['hsa-mir-4684', 'hsa-mir-548i-3', 'hsa-mir-563']"
Gene_969,"['hsa-mir-4685', 'hsa-mir-548i-2', 'hsa-mir-564']"
Gene_970,"['hsa-mir-4686', 'hsa-mir-548i-1', 'hsa-mir-566']"
Gene_971,"['hsa-mir-4687', 'hsa-mir-548h-5', 'hsa-mir-567']"
Gene_972,"['hsa-mir-4688', 'hsa-mir-548h-4', 'hsa-mir-568']"
Gene_973,"['hsa-mir-4689', 'hsa-mir-548h-3', 'hsa-mir-5680']"
Gene_974,"['hsa-mir-4690', 'hsa-mir-548h-2', 'hsa-mir-5681a']"
Gene_975,"['hsa-mir-4691', 'hsa-mir-548h-1', 'hsa-mir-5681b']"
Gene_976,"['hsa-mir-4692', 'hsa-mir-548g', 'hsa-mir-5682']"
Gene_977,"['hsa-mir-4693', 'hsa-mir-548f-5', 'hsa-mir-5683']"
Gene_978,"['hsa-mir-4694', 'hsa-mir-548f-4', 'hsa-mir-5684']"
Gene_979,"['hsa-mir-4695', 'hsa-mir-548f-3', 'hsa-mir-5685']"
Gene_980,"['hsa-mir-4696', 'hsa-mir-548f-2', 'hsa-mir-5687']"
Gene_981,"['hsa-mir-4697', 'hsa-mir-548f-1', 'hsa-mir-5688']"
Gene_982,"['hsa-mir-4698', 'hsa-mir-548e', 'hsa-mir-5689']"
Gene_983,"['hsa-mir-4699', 'hsa-mir-548d-2', 'hsa-mir-569']"
Gene_984,"['hsa-mir-4700', 'hsa-mir-548d-1', 'hsa-mir-5690']"
Gene_985,"['hsa-mir-4701', 'hsa-mir-548c', 'hsa-mir-5691']"
Gene_986,"['hsa-mir-4703', 'hsa-mir-548bb', 'hsa-mir-5692a-1']"
Gene_987,"['hsa-mir-4704', 'hsa-mir-548ba', 'hsa-mir-5692a-2']"
Gene_988,"['hsa-mir-4705', 'hsa-mir-548b', 'hsa-mir-5692b']"
Gene_989,"['hsa-mir-4706', 'hsa-mir-548az', 'hsa-mir-5692c-1']"
Gene_990,"['hsa-mir-4707', 'hsa-mir-548ay', 'hsa-mir-5692c-2']"
Gene_991,"['hsa-mir-4708', 'hsa-mir-548ax', 'hsa-mir-5693']"
Gene_992,"['hsa-mir-4709', 'hsa-mir-548aw', 'hsa-mir-5694']"
Gene_993,"['hsa-mir-4710', 'hsa-mir-548av', 'hsa-mir-5695']"
Gene_994,"['hsa-mir-4711', 'hsa-mir-548au', 'hsa-mir-5696']"
Gene_995,"['hsa-mir-4712', 'hsa-mir-548at', 'hsa-mir-5697']"
Gene_996,"['hsa-mir-4713', 'hsa-mir-548as', 'hsa-mir-5698']"
Gene_997,"['hsa-mir-4714', 'hsa-mir-548ar', 'hsa-mir-5699']"
Gene_998,"['hsa-mir-4715', 'hsa-mir-548aq', 'hsa-mir-570']"
Gene_999,"['hsa-mir-4716', 'hsa-mir-548ap', 'hsa-mir-5700']"
Gene_1000,"['hsa-mir-4717', 'hsa-mir-548ao', 'hsa-mir-5701-1']"
Gene_1001,"['hsa-mir-4718', 'hsa-mir-548an', 'hsa-mir-5701-2']"
Gene_1002,"['hsa-mir-4719', 'hsa-mir-548am', 'hsa-mir-5701-3']"
Gene_1003,"['hsa-mir-4720', 'hsa-mir-548al', 'hsa-mir-5702']"
Gene_1004,"['hsa-mir-4721', 'hsa-mir-548ak', 'hsa-mir-5703']"
Gene_1005,"['hsa-mir-4722', 'hsa-mir-548aj-2', 'hsa-mir-5704']"
Gene_1006,"['hsa-mir-4723', 'hsa-mir-548aj-1', 'hsa-mir-5705']"
Gene_1007,"['hsa-mir-4724', 'hsa-mir-548ai', 'hsa-mir-5706']"
Gene_1008,"['hsa-mir-4725', 'hsa-mir-548ah', 'hsa-mir-5707']"
Gene_1009,"['hsa-mir-4726', 'hsa-mir-548ag-2', 'hsa-mir-5708']"
Gene_1010,"['hsa-mir-4727', 'hsa-mir-548ag-1', 'hsa-mir-571']"
Gene_1011,"['hsa-mir-4728', 'hsa-mir-548ae-2', 'hsa-mir-572']"
Gene_1012,"['hsa-mir-4729', 'hsa-mir-548ae-1', 'hsa-mir-573']"
Gene_1013,"['hsa-mir-4730', 'hsa-mir-548ad', 'hsa-mir-5739']"
Gene_1014,"['hsa-mir-4731', 'hsa-mir-548ac', 'hsa-mir-574']"
Gene_1015,"['hsa-mir-4732', 'hsa-mir-548ab', 'hsa-mir-575']"
Gene_1016,"['hsa-mir-4733', 'hsa-mir-548aa-2', 'hsa-mir-576']"
Gene_1017,"['hsa-mir-4734', 'hsa-mir-548aa-1', 'hsa-mir-577']"
Gene_1018,"['hsa-mir-4735', 'hsa-mir-548a-3', 'hsa-mir-578']"
Gene_1019,"['hsa-mir-4736', 'hsa-mir-548a-2', 'hsa-mir-5787']"
Gene_1020,"['hsa-mir-4737', 'hsa-mir-548a-1', 'hsa-mir-579']"
Gene_1021,"['hsa-mir-4738', 'hsa-mir-545', 'hsa-mir-580']"
Gene_1022,"['hsa-mir-4739', 'hsa-mir-544b', 'hsa-mir-581']"
Gene_1023,"['hsa-mir-4740', 'hsa-mir-544a', 'hsa-mir-582']"
Gene_1024,"['hsa-mir-4741', 'hsa-mir-543', 'hsa-mir-583']"
Gene_1025,"['hsa-mir-4742', 'hsa-mir-542', 'hsa-mir-584']"
Gene_1026,"['hsa-mir-4743', 'hsa-mir-541', 'hsa-mir-585']"
Gene_1027,"['hsa-mir-4744', 'hsa-mir-539', 'hsa-mir-586']"
Gene_1028,"['hsa-mir-4745', 'hsa-mir-532', 'hsa-mir-587']"
Gene_1029,"['hsa-mir-4746', 'hsa-mir-527', 'hsa-mir-588']"
Gene_1030,"['hsa-mir-4747', 'hsa-mir-526b', 'hsa-mir-589']"
Gene_1031,"['hsa-mir-4748', 'hsa-mir-526a-2', 'hsa-mir-590']"
Gene_1032,"['hsa-mir-4749', 'hsa-mir-526a-1', 'hsa-mir-591']"
Gene_1033,"['hsa-mir-4750', 'hsa-mir-525', 'hsa-mir-592']"
Gene_1034,"['hsa-mir-4751', 'hsa-mir-524', 'hsa-mir-593']"
Gene_1035,"['hsa-mir-4752', 'hsa-mir-523', 'hsa-mir-595']"
Gene_1036,"['hsa-mir-4753', 'hsa-mir-522', 'hsa-mir-596']"
Gene_1037,"['hsa-mir-4754', 'hsa-mir-521-2', 'hsa-mir-597']"
Gene_1038,"['hsa-mir-4755', 'hsa-mir-521-1', 'hsa-mir-598']"
Gene_1039,"['hsa-mir-4756', 'hsa-mir-520h', 'hsa-mir-599']"
Gene_1040,"['hsa-mir-4757', 'hsa-mir-520g', 'hsa-mir-600']"
Gene_1041,"['hsa-mir-4758', 'hsa-mir-520f', 'hsa-mir-601']"
Gene_1042,"['hsa-mir-4759', 'hsa-mir-520e', 'hsa-mir-602']"
Gene_1043,"['hsa-mir-4760', 'hsa-mir-520d', 'hsa-mir-603']"
Gene_1044,"['hsa-mir-4761', 'hsa-mir-520c', 'hsa-mir-604']"
Gene_1045,"['hsa-mir-4762', 'hsa-mir-520b', 'hsa-mir-605']"
Gene_1046,"['hsa-mir-4763', 'hsa-mir-520a', 'hsa-mir-606']"
Gene_1047,"['hsa-mir-4764', 'hsa-mir-519e', 'hsa-mir-6068']"
Gene_1048,"['hsa-mir-4765', 'hsa-mir-519d', 'hsa-mir-6069']"
Gene_1049,"['hsa-mir-4766', 'hsa-mir-519c', 'hsa-mir-607']"
Gene_1050,"['hsa-mir-4767', 'hsa-mir-519b', 'hsa-mir-6070']"
Gene_1051,"['hsa-mir-4768', 'hsa-mir-519a-2', 'hsa-mir-6071']"
Gene_1052,"['hsa-mir-4769', 'hsa-mir-519a-1', 'hsa-mir-6072']"
Gene_1053,"['hsa-mir-4770', 'hsa-mir-5197', 'hsa-mir-6073']"
Gene_1054,"['hsa-mir-4771-1', 'hsa-mir-5196', 'hsa-mir-6074']"
Gene_1055,"['hsa-mir-4771-2', 'hsa-mir-5195', 'hsa-mir-6075']"
Gene_1056,"['hsa-mir-4772', 'hsa-mir-5194', 'hsa-mir-6076']"
Gene_1057,"['hsa-mir-4773-1', 'hsa-mir-5193', 'hsa-mir-6077']"
Gene_1058,"['hsa-mir-4773-2', 'hsa-mir-5192', 'hsa-mir-6078']"
Gene_1059,"['hsa-mir-4774', 'hsa-mir-5191', 'hsa-mir-6079']"
Gene_1060,"['hsa-mir-4775', 'hsa-mir-5190', 'hsa-mir-608']"
Gene_1061,"['hsa-mir-4776-1', 'hsa-mir-518f', 'hsa-mir-6080']"
Gene_1062,"['hsa-mir-4776-2', 'hsa-mir-518e', 'hsa-mir-6081']"
Gene_1063,"['hsa-mir-4777', 'hsa-mir-518d', 'hsa-mir-6082']"
Gene_1064,"['hsa-mir-4778', 'hsa-mir-518c', 'hsa-mir-6083']"
Gene_1065,"['hsa-mir-4779', 'hsa-mir-518b', 'hsa-mir-6084']"
Gene_1066,"['hsa-mir-4780', 'hsa-mir-518a-2', 'hsa-mir-6085']"
Gene_1067,"['hsa-mir-4781', 'hsa-mir-518a-1', 'hsa-mir-6086']"
Gene_1068,"['hsa-mir-4782', 'hsa-mir-5189', 'hsa-mir-6087']"
Gene_1069,"['hsa-mir-4783', 'hsa-mir-5188', 'hsa-mir-6088']"
